OLD CENSUS,STATE,NEW_SHAPEFILE_NAME,New_Dashboard_Mapping,Population Matching
Koppal,Karnataka,Koppal,Koppal,Koppal
Koraput,Odisha,Koraput,Koraput,Koraput
Korba,Chhattisgarh,Korba,Korba,Korba 
Koriya,Chhattisgarh,Koriya,Koriya,Koriya
Kota,Rajasthan,Kota,Kota,Kota
Kottayam,Kerala,Kottayam,Kottayam,Kottayam
Kozhikode,Kerala,Kozhikode,Kozhikode,Kozhikode
Krishna,Andhra Pradesh,Krishna,Krishna,Krishna
Krishnagiri,Tamil Nadu,Krishnagiri,Krishnagiri,Krishnagiri
Kulgam,Jammu & Kashmir,Kulgam,Kulgam,Kulgam
Kullu,Himachal Pradesh,Kullu,Kullu,Kullu
Kupwara,Jammu & Kashmir,Kupwara,Kupwara,Kupwara
Kurnool,Andhra Pradesh,Kurnool,Kurnool,Kurnool
Kurukshetra,Haryana,Kurukshetra,Kurukshetra,Kurukshetra
Kurung Kumey,Arunanchal Pradesh,Kurung Kumey;Kra Daadi,Kurung Kumey;Kra Daadi,Kurung Kumey
Kushinagar,Uttar Pradesh,Kushinagar,Kushinagar,Kushinagar
Lahul & Spiti,Himachal Pradesh,Lahul & Spiti,Lahaul Spiti,Lahul & Spiti
Lakhimpur,Assam,Lakhimpur,Lakhimpur,Lakhimpur
Lakhisarai,Bihar,Lakhisarai,Lakhisarai,Lakhisarai
Lalitpur,Uttar Pradesh,Lalitpur,Lalitpur,Lalitpur
Latehar,Jharkhand,Latehar,Latehar,Latehar
Latur,Maharashtra,Latur,Latur,Latur
Lawangtlai;Saiha,Mizoram,Lawngtlai;Saiha,Lawngtlai;Siaha,Lawngtlai;Saiha
Leh (ladakh),Jammu & Kashmir,Leh,,Leh(Ladakh)
Lohardaga,Jharkhand,Lohardaga,Lohardaga,Lohardaga
Lohit,Arunanchal Pradesh,Lohit;Namsai,Lohit;Namsai,Lohit
Longleng,Nagaland,Longleng,Longleng,Longleng
Lower Subansiri,Arunanchal Pradesh,Kamle;Lower Subansiri,Kamle;Lower Subansiri,Lower Subansiri
Lucknow,Uttar Pradesh,Lucknow,Lucknow,Lucknow
Ludhiana,Punjab,Ludhiana,Ludhiana,Ludhiana
Lunglei,Mizoram,Lunglei;Hnahthial,Lunglei;Lunglei,Lunglei
Madhepura,Bihar,Madhepura,Madhepura,Madhepura
Madhubani,Bihar,Madhubani,Madhubani,Madhubani
Madurai,Tamil Nadu,Madurai,Madurai,Madurai
Maharajganj,Uttar Pradesh,Mahrajganj,Maharajganj,Mahrajganj
Mahasamund,Chhattisgarh,Mahasamund,Mahasamund,Mahasamund
Mahbubnagar;Rangareddy,Andhra Pradesh,Jogulamba Gadwal;Wanaparthy;Nagarkurnool;Ranga Reddy;Narayanpet;Mahabubnagar;Nagarkurnool;Medchal Malkajgiri,Jogulamba Gadwal;Wanaparthy;Nagarkurnool;Rangareddy;Narayanpet;Mahabubnagar;Nagarkurnool;Medchal,Mahbubnagar;Rangareddy
Mahe,Puducherry,Mahe,Mahe,Mahe
Mahendragarh,Haryana,Mahendragarh,Mahendragarh,Mahendragarh
Mahesana,Gujarat,Mahesana,Mehsana,Mahesana
Mahoba,Uttar Pradesh,Mahoba,Mahoba,Mahoba
Mainpuri,Uttar Pradesh,Mainpuri,Mainpuri,Mainpuri
Malappuram,Kerala,Malappuram,Malappuram,Malappuram
Maldah,West Bengal,Maldah,Malda,Maldah 
Malkangiri,Odisha,Malkangiri,Malkangiri,Malkangiri  
Mamit,Mizoram,Mamit,Mamit,Mamit
Mandi,Himachal Pradesh,Mandi,Mandi,Mandi
Mandla,Madhya Pradesh,Mandla,Mandla,Mandla
Mandsaur,Madhya Pradesh,Mandsaur,Mandsaur,Mandsaur
Mandya,Karnataka,Mandya,Mandya,Mandya
Mansa,Punjab,Mansa,Mansa,Mansa
Marigaon,Assam,Morigaon,Morigaon,Morigaon
Mathura,Uttar Pradesh,Mathura,Mathura,Mathura
Mau,Uttar Pradesh,Mau,Mau,Mau
Mayurbhanj,Odisha,Mayurbhanj,Mayurbhanj,Mayurbhanj
Medak,Andhra Pradesh,Medak;Sangareddy;Sangareddy,Medak;Sangareddy;Sangareddy,Medak
Meerut,Uttar Pradesh,Meerut,Meerut,Meerut
Mewat;Rewari,Haryana,Rewari,Rewari,Mewat ;Rewari
Mirzapur,Uttar Pradesh,Mirzapur,Mirzapur,Mirzapur
Moga,Punjab,Moga,Moga,Moga
Mokokchung,Nagaland,Mokokchung,Mokokchung,Mokokchung
Mon;Tuensang,Nagaland,Mon;Tuensang,Mon;Tuensang,Mon;Tuensang
Morena,Madhya Pradesh,Morena,Morena,Morena
Muktsar,Punjab,Sri Muktsar Sahib,Sri Muktsar Sahib,Muktsar
Mumbai,Maharashtra,Mumbai,Mumbai,Mumbai
Mumbai Suburban,Maharashtra,Mumbai Suburban,Mumbai,Mumbai Suburban
Munger,Bihar,Munger,Munger,Munger
Murshidabad,West Bengal,Murshidabad,Murshidabad,Murshidabad 
Muzaffarnagar,Uttar Pradesh,Muzaffarnagar;Shamli,Muzaffarnagar;Shamli,Muzaffarnagar
Muzaffarpur,Bihar,Muzaffarpur,Muzaffarpur,Muzaffarpur
Mysore,Karnataka,Mysuru,Mysore,Mysore
Nabarangapur,Odisha,Nabarangapur,Nabarangpur,Nabarangapur 
Nadia,West Bengal,Nadia,Nadia,Nadia 
Nagaon,Assam,Nagaon;Hojai,Nagaon;Hojai,Nagaon
Nagaur,Rajasthan,Nagaur,Nagaur,Nagaur
Nagpur,Maharashtra,Nagpur,Nagpur,Nagpur
Nainital,Uttarakhand,Nainital,Nainital,Nainital
Nalanda,Bihar,Nalanda,Nalanda,Nalanda
Nalbari,Assam,Nalbari,Nalbari,Nalbari
Nalgonda,Andhra Pradesh,Nalgonda;Yadadri Bhuvanagiri;Suryapet,Nalgonda;Yadadri Bhuvanagiri;Suryapet,Nalgonda
Namakkal,Tamil Nadu,Namakkal,Namakkal,Namakkal   
Nanded,Maharashtra,Nanded,Nanded,Nanded
Nandurbar,Maharashtra,Nandurbar,Nandurbar,Nandurbar
Narmada,Gujarat,Narmada,Narmada,Narmada
Narsimhapur,Madhya Pradesh,Narsimhapur,Narsinghpur,Narsimhapur
Nashik,Maharashtra,Nashik,Nashik,Nashik
Navsari,Gujarat,Navsari,Navsari,Navsari  
Nawada,Bihar,Nawada,Nawada,Nawada
Nayagarh,Odisha,Nayagarh,Nayagarh,Nayagarh  
Neemuch,Madhya Pradesh,Neemuch,Neemuch,Neemuch 
Sri Potti Sriramulu Nellore,Andhra Pradesh,Sri Potti Sriramulu Nell*,Sri Potti Sriramulu Nellore,Sri Potti Sriramulu Nellore
New Delhi;South;South West,NCT of Delhi,South West;New Delhi;South;South East,South West Delhi;New Delhi;South Delhi;South East Delhi,New Delhi;South;South West
Nizamabad,Andhra Pradesh,Nizamabad;Kamareddy,Nizamabad;Kamareddy,Nizamabad
North,Sikkim,North  District,North Sikkim,North  District
North 24 Parganas,West Bengal,North Twenty Four Pargan*,North 24 Parganas,North Twenty Four Parganas
Dima Hasao,Assam,Dima Hasao,Dima Hasao,Dima Hasao
North Goa;South Goa,Goa,North Goa;South Goa,North Goa;South Goa,North Goa;South Goa
North Tripura,Tripura,North Tripura;Sipahijala;Khowai,North Tripura;Sepahijala;Khowai,North Tripura
North West,NCT of Delhi,North;North West,North Delhi;North West Delhi,North West
Nuapada,Odisha,Nuapada,Nuapada,Nuapada
Osmanabad,Maharashtra,Osmanabad,Osmanabad,Osmanabad
Pakur,Jharkhand,Pakur,Pakur,Pakur
Palakkad,Kerala,Palakkad,Palakkad,Palakkad
Palamu,Jharkhand,Palamu,Palamu,Palamu
Pali,Rajasthan,Pali,Pali,Pali
Palwal,Haryana,Palwal,Palwal,Palwal 
Panch Mahals,Gujarat,Panch Mahals;Mahisagar,Panchmahal;Mahisagar,Panch Mahals
Panchkula,Haryana,Panchkula,Panchkula,Panchkula
Panipat,Haryana,Panipat,Panipat,Panipat
Panna,Madhya Pradesh,Panna,Panna,Panna
Papum Pare,Arunanchal Pradesh,Papum Pare,Papum Pare,Papum Pare
Parbhani,Maharashtra,Parbhani,Parbhani,Parbhani
Pashchim Champaran,Bihar,Pashchim Champaran,West Champaran,Pashchim Champaran
Pashchim Medinipur,West Bengal,Medinipur West;Jhargram,Purba Medinipore;Jhargram,Paschim Medinipur
Pashchimi Singhbhum,Jharkhand,Pashchimi Singhbhum,West Singhbhum,Pashchimi Singhbhum
Patan,Gujarat,Patan,Patan,Patan  
Pathanamthitta,Kerala,Pathanamthitta,Pathanamthitta,Pathanamthitta
Patiala,Punjab,Patiala,Patiala,Patiala
Patna,Bihar,Patna,Patna,Patna
Perambalur,Tamil Nadu,Perambalur,Perambalur,Perambalur  
Peren,Nagaland,Peren,Peren,Peren
Pilibhit,Uttar Pradesh,Pilibhit,Pilibhit,Pilibhit
Pithoragarh,Uttarakhand,Pithoragarh,Pithoragarh,Pithoragarh
Porbandar,Gujarat,Porbandar,Porbandar,Porbandar 
Prakasam,Andhra Pradesh,Prakasam,Prakasam,Prakasam
Pratapgarh;Pratapgarh,Rajasthan,Pratapgarh,Pratapgarh,Pratapgarh;Pratapgarh
Pudukkottai,Tamil Nadu,Pudukkottai,Pudukkottai,Pudukkottai
Pulwama,Jammu & Kashmir,Pulwama,Pulwama,Pulwama
Punch,Jammu & Kashmir,Punch,Poonch,Punch
Pune,Maharashtra,Pune,Pune,Pune
Purba Champaran,Bihar,Purba Champaran,East Champaran,Purba Champaran
Purba Medinipur,West Bengal,Purba Medinipur,Purba Medinipore,Purba Medinipur
Purbi Singhbhum,Jharkhand,Purbi Singhbhum,East Singhbhum,Purbi Singhbhum
Puri,Odisha,Puri,Puri,Puri
Purnia,Bihar,Purnia,Purnia,Purnia
Puruliya,West Bengal,Puruliya,Purulia,Puruliya
Rae Bareli;Sultanpur,Uttar Pradesh,Rae Bareli;Sultanpur;Amethi,Raebareli;Sultanpur;Amethi,Rae Bareli;Sultanpur
Raichur,Karnataka,Raichur,Raichur,Raichur
Raigarh;Raigarh,Chhattisgarh,Raigarh,Raigarh,Raigarh;Raigarh
Raipur,Chhattisgarh,Raipur;Baloda Bazar;Gariaband,Raipur;Baloda bazar;Gariaband,Raipur
Raisen,Madhya Pradesh,Raisen,Raisen,Raisen
Rajouri,Jammu & Kashmir,Rajouri,Rajouri,Rajouri
Rajgarh,Madhya Pradesh,Rajgarh,Rajgarh,Rajgarh
Rajkot;Surendranagar,Gujarat,Surendranagar;Morbi;Rajkot,Surendranagar;Morbi;Rajkot,Rajkot;Surendranagar
Rajnandgaon,Chhattisgarh,Rajnandgaon,Rajnandgaon,Rajnandgaon
Rajsamand,Rajasthan,Rajsamand,Rajsamand,Rajsamand
Ramanagara,Karnataka,Ramanagara,Ramanagara,Ramanagara
Ramanathapuram,Tamil Nadu,Ramanathapuram,Ramanathapuram,Ramanathapuram
Ramban,Jammu & Kashmir,Ramban,Ramban,Ramban
Ramgarh,Jharkhand,Ramgarh,Ramgarh,Ramgarh
Rampur,Uttar Pradesh,Rampur,Rampur,Rampur
Ranchi,Jharkhand,Ranchi,Ranchi,Ranchi
Ratlam,Madhya Pradesh,Ratlam,Ratlam,Ratlam
Ratnagiri,Maharashtra,Ratnagiri,Ratnagiri,Ratnagiri
Rayagada,Odisha,Rayagada,Rayagada,Rayagada  
Reasi,Jammu & Kashmir,Reasi,Reasi,Reasi
Rewa,Madhya Pradesh,Rewa,Rewa,Rewa
Ri Bhoi,Meghalaya,Ribhoi,Ri-Bhoi,Ribhoi
Rohtak,Haryana,Rohtak,Rohtak,Rohtak
Rohtas,Bihar,Rohtas,Rohtas,Rohtas
Rudraprayag,Uttarakhand,Rudraprayag,Rudraprayag,Rudraprayag
Rupnagar,Punjab,Rupnagar,Rup Nagar,Rupnagar
Sabar Kantha,Gujarat,Sabar Kantha;Aravalli,Sabarkantha;Aravalli,Sabar Kantha
Sagar,Madhya Pradesh,Sagar,Sagar,Sagar
Saharanpur,Uttar Pradesh,Saharanpur,Saharanpur,Saharanpur
Saharsa,Bihar,Saharsa,Saharsa,Saharsa
Sahibganj,Jharkhand,Sahibganj,Sahebganj,Sahibganj
Sahibzada Ajit Singh Nagar,Punjab,Sahibzada Ajit Singh Nag*,SAS Nagar,Sahibzada Ajit Singh Nagar
Salem,Tamil Nadu,Salem,Salem,Salem
Samastipur,Bihar,Samastipur,Samastipur,Samastipur
Samba,Jammu & Kashmir,Samba,Samba,Samba
Sambalpur,Odisha,Sambalpur,Sambalpur,Sambalpur
Sangli,Maharashtra,Sangli,Sangli,Sangli
Sangrur,Punjab,Sangrur,Sangrur,Sangrur
Sant Kabir Nagar;Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,Sant Kabir Nagar,Sant Kabir Nagar,Sant Kabir Nagar;Sant Ravidas Nagar (Bhadohi)
Saraikela-kharsawan,Jharkhand,Saraikela-kharsawan,Seraikela Kharsawan,Saraikela-Kharsawan
Saran (chhapra),Bihar,Saran,Saran,Saharsa
Satara,Maharashtra,Satara,Satara,Satara
Satna,Madhya Pradesh,Satna,Satna,Satna
Sehore,Madhya Pradesh,Sehore,Sehore,Sehore
Senapati,Manipur,Senapati;Kangpokpi,Senapati;Kangpokpi,Senapati
Seoni,Madhya Pradesh,Seoni,Seoni,Seoni
Shahdol,Madhya Pradesh,Shahdol,Shahdol,Shahdol
Shahid Bhagat Singh Nagar,Punjab,Shahid Bhagat Singh Nagar,SBS Nagar,Shahid Bhagat Singh Nagar 
Shahjahanpur,Uttar Pradesh,Shahjahanpur,Shahjahanpur,Shahjahanpur
Shajapur,Madhya Pradesh,Shajapur;Agar Malwa,Shajapur;Agar,Shajapur
Sheikhpura,Bihar,Sheikhpura,Sheikhpura,Sheikhpura
Sheohar,Bihar,Sheohar,Sheohar,Sheohar
Sheopur,Madhya Pradesh,Sheopur,Sheopur,Sheopur 
Shimla,Himachal Pradesh,Shimla,Shimla,Shimla
Shimoga,Karnataka,Shivamogga,Shimoga,Shimoga
Shivpuri,Madhya Pradesh,Shivpuri,Shivpuri,Shivpuri
Shrawasti,Uttar Pradesh,Shrawasti,Shravasti,Shrawasti
Shupiyan,Jammu & Kashmir,Shupiyan,Shopian,Shupiyan
Sivasagar,Assam,Sivasagar;Charaideo,Sivasagar;Charaideo,Sivasagar
Siddharth Nagar,Uttar Pradesh,Siddharthnagar,Siddharthnagar,Siddharthnagar
Sidhi,Madhya Pradesh,Sidhi,Sidhi,Sidhi
Sikar,Rajasthan,Sikar,Sikar,Sikar
Simdega,Jharkhand,Simdega,Simdega,Simdega
Sindhudurg,Maharashtra,Sindhudurg,Sindhudurg,Sindhudurg
Singrauli,Madhya Pradesh,Singrauli,Singrauli,Singrauli
Sirmaur,Himachal Pradesh,Sirmaur,Sirmaur,Sirmaur
Sirohi,Rajasthan,Sirohi,Sirohi,Sirohi
Sirsa,Haryana,Sirsa,Sirsa,Sirsa
Sitamarhi,Bihar,Sitamarhi,Sitamarhi,Sitamarhi
Sitapur,Uttar Pradesh,Sitapur,Sitapur,Sitapur
Sivaganga,Tamil Nadu,Sivaganga,Sivaganga,Sivaganga
Siwan,Bihar,Siwan,Siwan,Siwan
Solan,Himachal Pradesh,Solan,Solan,Solan
Solapur,Maharashtra,Solapur,Solapur,Solapur
Subarnapur,Odisha,Subarnapur,Subarnapur,Subarnapur
Sonbhadra,Uttar Pradesh,Sonbhadra,Sonbhadra,Sonbhadra
Sonipat,Haryana,Sonipat,Sonipat,Sonipat
Sonitpur,Assam,Sonitpur;Biswanath,Sonitpur;Biswanath,Sonitpur
South,Sikkim,South District,South Sikkim,South District
South 24 Parganas,West Bengal,South Twenty Four Pargan*,South 24 Parganas,South Twenty Four Parganas
South Garo Hills,Meghalaya,South Garo Hills,South Garo Hills,South Garo Hills
South Tripura,Tripura,South Tripura;Gomati,South Tripura;Gomati,South Tripura 
Srikakulam,Andhra Pradesh,Srikakulam,Srikakulam,Srikakulam
Srinagar,Jammu & Kashmir,Srinagar,Srinagar,Srinagar
Sundargarh,Odisha,Sundargarh,Sundargarh,Sundargarh
Supaul,Bihar,Supaul,Supaul,Supaul
Surat,Gujarat,Surat,Surat,Surat
Surguja,Chhattisgarh,Surguja;Surajpur;Balrampur,Surguja;Surajpur;Balrampur,Surguja
Tamenglong,Manipur,Tamenglong;Noney,Tamenglong;Noney,Tamenglong 
Tarn Taran,Punjab,Tarn Taran,Tarn Taran,Tarn Taran
Tawang,Arunanchal Pradesh,Tawang,Tawang,Tawang
Tehri Garhwal,Uttarakhand,Tehri Garhwal,Tehri Garhwal,Tehri Garhwal
Thane,Maharashtra,Thane;Palghar,Thane;Palghar,Thane
Thanjavur,Tamil Nadu,Thanjavur,Thanjavur,Thanjavur
The Dangs,Gujarat,The Dangs,Dang,The Dangs
The Nilgiris,Tamil Nadu,The Nilgiris,Nilgiris,The Nilgiris
Theni,Tamil Nadu,Theni,Theni,Theni  
Thiruvallur,Tamil Nadu,Thiruvallur,Tiruvallur,Thiruvallur
Thiruvananthapuram,Kerala,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram
Thiruvarur,Tamil Nadu,Thiruvarur,Tiruvarur,Thiruvarur
Thoothukkudi,Tamil Nadu,Thoothukkudi,Thoothukudi (Tuticorin),Thoothukkudi
Thoubal,Manipur,Thoubal;Kakching,Thoubal;Kakching,Thoubal
Thrissur,Kerala,Thrissur,Thrissur,Thrissur
Tikamgarh,Madhya Pradesh,Tikamgarh;Niwari,Tikamgarh;Tikamgarh,Tikamgarh
Tinsukia,Assam,Tinsukia,Tinsukia,Tinsukia
Tirap,Arunanchal Pradesh,Tirap;Longding,Tirap;Longding,Tirap
Tiruchirappalli,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Tiruchirappalli
Tirunelveli,Tamil Nadu,Tirunelveli;Tenkasi,Tirunelveli;Tenkasi,Tirunelveli 
Tiruppur,Tamil Nadu,Tiruppur,Tiruppur,Tiruppur
Tiruvannamalai,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,Tiruvannamalai
Tonk,Rajasthan,Tonk,Tonk,Tonk
Tumkur,Karnataka,Tumakuru,Tumkur,Tumkur
Udaipur,Rajasthan,Udaipur,Udaipur,Udaipur
Udalguri,Assam,Udalguri,Udalguri,Udalguri
Udhampur,Jammu & Kashmir,Udhampur,Udhampur,Udhampur
Udham Singh Nagar,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,Udham Singh Nagar
Udupi,Karnataka,Udupi,Udupi,Udupi
Ujjain,Madhya Pradesh,Ujjain,Ujjain,Ujjain
Ukhrul,Manipur,Ukhrul;Kamjong,Ukhrul;Kamjong,Ukhrul
Umaria,Madhya Pradesh,Umaria,Umaria,Umaria
Una,Himachal Pradesh,Una,Una,Una
Unnao,Uttar Pradesh,Unnao,Unnao,Unnao
Upper Siang,Arunanchal Pradesh,Upper Siang,Upper Siang,Upper Siang
Upper Subansiri,Arunanchal Pradesh,Upper Subansiri,Upper Subansiri,Upper Subansiri
Uttar Dinajpur,West Bengal,Uttar Dinajpur,Uttar Dinajpur,Uttar Dinajpur
Uttara Kannada,Karnataka,Uttara Kannada,Uttar Kannada,Uttara Kannada
Uttarkashi,Uttarakhand,Uttarkashi,Uttarkashi,Uttarkashi
Vadodara,Gujarat,Vadodara;Chota Udaipur,Vadodara;Chhotaudepur,Vadodara
Vaishali,Bihar,Vaishali,Vaishali,Vaishali
Valsad,Gujarat,Valsad,Valsad,Valsad
Varanasi,Uttar Pradesh,Varanasi,Varanasi,Varanasi
Vellore,Tamil Nadu,Vellore;Ranipet;Tirupathur,Vellore;Ranipet;Tirupattur,Vellore
Vidisha,Madhya Pradesh,Vidisha,Vidisha,Vidisha
Viluppuram,Tamil Nadu,Viluppuram,Viluppuram,Viluppuram
Virudunagar,Tamil Nadu,Virudhunagar,Virudhunagar,Virudhunagar
Visakhapatnam,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Visakhapatnam
Vizianagaram,Andhra Pradesh,Vizianagaram,Vizianagaram,Vizianagaram
Wardha,Maharashtra,Wardha,Wardha,Wardha
Washim,Maharashtra,Washim,Washim,Washim
Wayanad,Kerala,Wayanad,Wayanad,Wayanad
West,NCT of Delhi,West,West Delhi,West
West,Sikkim,West District,West Sikkim,West District
West Godavari,Andhra Pradesh,West Godavari,West Godavari,West Godavari
West Kameng,Arunanchal Pradesh,West Kameng,West Kameng,West Kameng
West Khasi Hills,Meghalaya,West Khasi Hills;South West Khasi Hills,West Khasi Hills;South West Khasi Hills,West Khasi Hills
West Nimar,Madhya Pradesh,West Nimar,Khargone,Khargone (West Nimar)
West Tripura,Tripura,West Tripura;Kallakurichi,West Tripura;Kallakurichi,West Tripura 
Wokha,Nagaland,Wokha,Wokha,Wokha
Yadgir,Karnataka,Yadgir,Yadgir,Yadgir
Yavatmal,Maharashtra,Yavatmal,Yavatmal,Yavatmal
Kabeerdham,Chhattisgarh,Kabeerdham,Kawardha,Kabeerdham
Yamunanagar,Haryana,Yamunanagar,Yamunanagar,Yamunanagar
Jind,Haryana,Jind,Jind,Jind
Dausa,Rajasthan,Dausa,Dausa,Dausa
Karauli,Rajasthan,Karauli,Karauli,Karauli
Sawai Madhopur,Rajasthan,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur
Arwal,Bihar,Arwal,Arwal,Arwal
Jehanabad,Bihar,Jehanabad,Jehanabad,Jehanabad 
Nagappattinam,Tamil Nadu,Nagapattinam,Nagapattinam,Nagapattinam  
Karaikal,Puducherry,Karaikal,Karaikal,Karaikal
Puducherry,Puducherry,Puducherry,Puducherry,Puducherry
Yanam,Puducherry,Yanam,Yanam,Yanam
Tapi,Gujarat,Tapi,Tapi,Tapi
Nicobar,Andaman & Nicobar Island,Nicobars,Nicobar,Nicobars
South Andaman,Andaman & Nicobar Island,South Andaman,South Andaman,South Andaman
North & Middle Andaman,Andaman & Nicobar Island,North  & Middle Andaman,North and Middle Andaman,North  & Middle Andaman
Lakshadweep,Lakshadweep,Lakshadweep,Lakshadweep,Lakshadweep
